trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9588697805724845}",25,0,-137.36171993685505,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9579113900670306}",25,0,-95.27097397123161,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9569539574730467}",25,0,-101.58806313390163,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9559974818331}",20,4,-50.85018485848649,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.9550419621907147}",20,0,-38.23691884720802,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9540873975903711}",25,0,-92.32175500502115,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9531337870775047}",25,0,-181.1403572449677,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.9521811296985049}",20,3,-85.08362426838768,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-219.340939631684,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.950278670532427}",20,0,-88.8666163968793,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9493288668428896}",20,0,-95.03360863553961,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9483800124822982}",20,0,-28.675044500792858,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9474321065017983}",20,0,-108.98338761341543,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,0,-107.47163865166226,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
